Voltage [V],Capacitance [F],Conductivity [S],Bias Voltage [V],Pad Current [A],InverseCSquare,Ascending,Descending,Is Coarse
0.0,1.78898e-10,5.723526e-07,0.0,-3.980436e-07,3.1245611549952106e+19,True,False,True
10.0,1.78927e-10,5.463797e-08,10.0,3.159366e-06,3.123548396379688e+19,True,False,True
20.0,1.32662e-10,5.092547e-08,20.0,4.363724e-06,5.68207444208414e+19,True,False,True
30.0,7.8996e-11,1.227336e-07,30.0,6.138211e-06,1.6024695938381336e+20,True,False,True
35.0,5.6335e-11,1.038966e-07,35.0,7.403269e-06,3.150963719496515e+20,True,False,True
40.0,4.40823e-11,8.834977e-08,40.0,8.893876e-06,5.146020457618202e+20,True,False,True
45.0,3.65688e-11,7.732427e-08,45.0,1.061439e-05,7.477881547466595e+20,True,False,True
50.0,3.09541e-11,6.633917e-08,50.0,1.248477e-05,1.0436710512602171e+21,True,False,True
55.0,2.51647e-11,5.278967e-08,55.0,1.430799e-05,1.5791249133662524e+21,True,False,True
65.0,1.43517e-11,2.857097e-08,65.0,1.756078e-05,4.85504550643402e+21,True,False,True
65.0,1.43336e-11,2.843457e-08,65.0,1.758576e-05,4.867314832679519e+21,False,True,True
55.0,2.51392e-11,5.280967e-08,55.0,1.419553e-05,1.5823301154487494e+21,False,True,True
50.0,3.10278e-11,6.618777e-08,50.0,1.242844e-05,1.0387188983800611e+21,False,True,True
45.0,3.6673e-11,7.716047e-08,45.0,1.057061e-05,7.435447697886464e+20,False,True,True
40.0,4.40168e-11,8.785947e-08,40.0,8.814111e-06,5.161347111411096e+20,False,True,True
35.0,5.6192e-11,1.034466e-07,35.0,7.331211e-06,3.167021562258394e+20,False,True,True
30.0,7.8788e-11,1.222326e-07,30.0,6.083894e-06,1.6109417888143517e+20,False,True,True
20.0,1.31017e-10,5.011687e-08,20.0,4.275401e-06,5.82565414910587e+19,False,True,True
10.0,1.75383e-10,5.372037e-08,10.0,3.074907e-06,3.251060195462181e+19,False,True,True
0.0,1.95878e-10,5.095026e-07,0.0,-4.263634e-07,2.6063256488254493e+19,False,True,True
0.0,1.79642e-10,5.723486e-07,0.0,-4.0052e-07,3.0987335690211824e+19,True,False,False
1.0,2.53018e-10,1.183566e-07,1.0,1.205875e-06,1.5620580272989823e+19,True,False,False
2.0,2.31705e-10,8.865107e-08,2.0,1.633256e-06,1.8626411307526943e+19,True,False,False
3.0,2.19359e-10,7.589597e-08,3.0,1.929767e-06,2.0782083468142924e+19,True,False,False
4.0,2.09969e-10,6.882947e-08,4.0,2.171335e-06,2.268243318553872e+19,True,False,False
5.0,2.01956e-10,6.401457e-08,5.0,2.372854e-06,2.451808121617227e+19,True,False,False
6.0,1.94942e-10,6.067627e-08,6.0,2.551044e-06,2.6314139048113205e+19,True,False,False
7.0,1.88651e-10,5.800237e-08,7.0,2.713115e-06,2.80984120348753e+19,True,False,False
8.0,1.82799e-10,5.585887e-08,8.0,2.866085e-06,2.9926254764471448e+19,True,False,False
9.0,1.77494e-10,5.418217e-08,9.0,3.008595e-06,3.1741880073377456e+19,True,False,False
10.0,1.72625e-10,5.254507e-08,10.0,3.147103e-06,3.355773319609618e+19,True,False,False
11.0,1.67842e-10,5.142927e-08,11.0,3.27584e-06,3.5497576856528155e+19,True,False,False
12.0,1.63436e-10,5.013617e-08,12.0,3.407318e-06,3.743730267849747e+19,True,False,False
13.0,1.59049e-10,4.931147e-08,13.0,3.527927e-06,3.95310285431447e+19,True,False,False
14.0,1.54842e-10,4.847407e-08,14.0,3.644139e-06,4.170829682299557e+19,True,False,False
15.0,1.50701e-10,4.767857e-08,15.0,3.760595e-06,4.403193100333651e+19,True,False,False
16.0,1.46536e-10,4.714077e-08,16.0,3.877029e-06,4.657054658850568e+19,True,False,False
17.0,1.42244e-10,4.647217e-08,17.0,3.999867e-06,4.942333950593414e+19,True,False,False
18.0,1.37733e-10,4.618497e-08,18.0,4.110871e-06,5.271375889568277e+19,True,False,False
19.0,1.33121e-10,4.631967e-08,19.0,4.218205e-06,5.642958512000518e+19,True,False,False
20.0,1.28368e-10,4.891737e-08,20.0,4.338522e-06,6.068571180180302e+19,True,False,False
21.0,1.23824e-10,5.870337e-08,21.0,4.451308e-06,6.5221433717466776e+19,True,False,False
22.0,1.20218e-10,7.633967e-08,22.0,4.574406e-06,6.919281552585571e+19,True,False,False
23.0,1.16791e-10,9.633037e-08,23.0,4.725483e-06,7.331304297558139e+19,True,False,False
24.0,1.1233e-10,1.135986e-07,24.0,4.879438e-06,7.925168090239513e+19,True,False,False
25.0,1.06838e-10,1.252576e-07,25.0,5.063978e-06,8.760895519690331e+19,True,False,False
26.0,1.00643e-10,1.311796e-07,26.0,5.247442e-06,9.872629797907182e+19,True,False,False
27.0,9.4309e-11,1.321836e-07,27.0,5.443621e-06,1.124329796438659e+20,True,False,False
28.0,8.8065e-11,1.291396e-07,28.0,5.651856e-06,1.289416790306425e+20,True,False,False
29.0,8.2403e-11,1.256626e-07,29.0,5.879156e-06,1.4726988707147276e+20,True,False,False
30.0,7.7162e-11,1.211706e-07,30.0,6.088429e-06,1.6795504297112643e+20,True,False,False
31.0,7.2246e-11,1.169436e-07,31.0,6.320518e-06,1.9158980104923447e+20,True,False,False
32.0,6.7178e-11,1.130056e-07,32.0,6.565376e-06,2.215878072695303e+20,True,False,False
33.0,6.2632e-11,1.092776e-07,33.0,6.811354e-06,2.549220720764301e+20,True,False,False
34.0,5.8593e-11,1.057636e-07,34.0,7.059802e-06,2.9127856779472355e+20,True,False,False
35.0,5.528e-11,1.022076e-07,35.0,7.323871e-06,3.272381518845776e+20,True,False,False
35.5,5.3618e-11,1.004219e-07,35.5,7.46461e-06,3.478394047896771e+20,True,False,False
36.0,5.2352e-11,9.871147e-08,36.0,7.614185e-06,3.648660412718718e+20,True,False,False
36.5,5.1006e-11,9.678487e-08,36.5,7.729685e-06,3.843770655126228e+20,True,False,False
37.0,4.9723e-11,9.527517e-08,37.0,7.88863e-06,4.0446910386689704e+20,True,False,False
37.5,4.86045e-11,9.355417e-08,37.5,8.030516e-06,4.232988029144458e+20,True,False,False
38.0,4.74998e-11,9.215717e-08,38.0,8.173721e-06,4.432170287449607e+20,True,False,False
38.5,4.6489e-11,9.070297e-08,38.5,8.328469e-06,4.6270009768214456e+20,True,False,False
39.0,4.5293e-11,8.922237e-08,39.0,8.478522e-06,4.874586993853456e+20,True,False,False
39.5,4.4391e-11,8.826037e-08,39.5,8.656159e-06,5.0746973089840824e+20,True,False,False
40.0,4.32784e-11,8.672737e-08,40.0,8.786456e-06,5.338971553359549e+20,True,False,False
40.5,4.25562e-11,8.558677e-08,40.5,8.951028e-06,5.521719201304677e+20,True,False,False
41.0,4.17136e-11,8.454737e-08,41.0,9.123487e-06,5.747045763584544e+20,True,False,False
41.5,4.09227e-11,8.325147e-08,41.5,9.278281e-06,5.97133505288972e+20,True,False,False
42.0,4.01633e-11,8.228997e-08,42.0,9.440007e-06,6.199279560199651e+20,True,False,False
42.5,3.94574e-11,8.117907e-08,42.5,9.6077e-06,6.423076150703994e+20,True,False,False
43.0,3.87811e-11,8.004767e-08,43.0,9.777011e-06,6.649052364126983e+20,True,False,False
43.5,3.8159e-11,7.907507e-08,43.5,9.961785e-06,6.867616414842425e+20,True,False,False
44.0,3.74455e-11,7.814307e-08,44.0,1.0145e-05,7.131825888008101e+20,True,False,False
44.5,3.67376e-11,7.716887e-08,44.5,1.031295e-05,7.409321461481958e+20,True,False,False
45.0,3.62365e-11,7.624567e-08,45.0,1.049712e-05,7.615659406375316e+20,True,False,False
45.5,3.56591e-11,7.525347e-08,45.5,1.067932e-05,7.864285009287334e+20,True,False,False
46.0,3.51088e-11,7.429467e-08,46.0,1.086382e-05,8.112748792667734e+20,True,False,False
46.5,3.45434e-11,7.334827e-08,46.5,1.104383e-05,8.380498193604917e+20,True,False,False
47.0,3.40439e-11,7.224197e-08,47.0,1.125322e-05,8.6282235283085e+20,True,False,False
47.5,3.34908e-11,7.145887e-08,47.5,1.141174e-05,8.915566763858027e+20,True,False,False
48.0,3.30216e-11,7.032927e-08,48.0,1.161343e-05,9.170727210829893e+20,True,False,False
48.5,3.23059e-11,6.919627e-08,48.5,1.178164e-05,9.581561933834664e+20,True,False,False
49.0,3.20002e-11,6.814387e-08,49.0,1.196072e-05,9.7655029308319e+20,True,False,False
49.5,3.14188e-11,6.693397e-08,49.5,1.21533e-05,1.0130265145966525e+21,True,False,False
50.0,3.08669e-11,6.599567e-08,50.0,1.233839e-05,1.0495761901707353e+21,True,False,False
50.5,3.03166e-11,6.463117e-08,50.5,1.251649e-05,1.088025346323724e+21,True,False,False
51.0,2.98598e-11,6.360917e-08,51.0,1.2698e-05,1.1215695527351293e+21,True,False,False
51.5,2.93139e-11,6.256017e-08,51.5,1.289717e-05,1.1637315161344705e+21,True,False,False
52.0,2.87759e-11,6.107237e-08,52.0,1.308747e-05,1.2076530118972431e+21,True,False,False
52.5,2.82689e-11,5.991227e-08,52.5,1.32711e-05,1.2513597475077557e+21,True,False,False
53.0,2.75969e-11,5.830947e-08,53.0,1.345308e-05,1.3130443650669423e+21,True,False,False
53.5,2.68663e-11,5.720667e-08,53.5,1.364199e-05,1.3854290191118256e+21,True,False,False
54.0,2.6423e-11,5.594097e-08,54.0,1.380892e-05,1.4323057996830474e+21,True,False,False
54.5,2.57553e-11,5.439707e-08,54.5,1.398697e-05,1.5075328141340904e+21,True,False,False
55.0,2.52608e-11,5.310267e-08,55.0,1.416899e-05,1.567132795581485e+21,True,False,False
56.0,2.40455e-11,5.013677e-08,56.0,1.451102e-05,1.7295470289825785e+21,True,False,False
57.0,2.26107e-11,4.748917e-08,57.0,1.487633e-05,1.9560141150234047e+21,True,False,False
58.0,2.14155e-11,4.473287e-08,58.0,1.522358e-05,2.1804370996987654e+21,True,False,False
59.0,2.01735e-11,4.224987e-08,59.0,1.554083e-05,2.457182958825079e+21,True,False,False
60.0,1.90646e-11,3.981047e-08,60.0,1.589493e-05,2.7513421702200904e+21,True,False,False
61.0,1.8215e-11,3.746737e-08,61.0,1.62079e-05,3.013988902040765e+21,True,False,False
62.0,1.71979e-11,3.527277e-08,62.0,1.653937e-05,3.3810310667046774e+21,True,False,False
63.0,1.60842e-11,3.293257e-08,63.0,1.684036e-05,3.865458994424676e+21,True,False,False
64.0,1.52508e-11,3.113867e-08,64.0,1.715144e-05,4.299468272926551e+21,True,False,False
65.0,1.4399e-11,2.918637e-08,65.0,1.745226e-05,4.823200729927765e+21,True,False,False
65.0,1.44486e-11,2.908967e-08,65.0,1.747683e-05,4.790142837324832e+21,False,True,False
64.0,1.53302e-11,3.111147e-08,64.0,1.715804e-05,4.2550469700584866e+21,False,True,False
63.0,1.62546e-11,3.312667e-08,63.0,1.687969e-05,3.784839143993473e+21,False,True,False
62.0,1.72325e-11,3.530927e-08,62.0,1.654352e-05,3.3674675984898505e+21,False,True,False
61.0,1.80589e-11,3.750047e-08,61.0,1.621724e-05,3.0663195626324214e+21,False,True,False
60.0,1.92935e-11,3.995287e-08,60.0,1.587693e-05,2.6864450470079496e+21,False,True,False
59.0,2.04403e-11,4.237917e-08,59.0,1.552663e-05,2.3934561143081245e+21,False,True,False
58.0,2.17001e-11,4.522687e-08,58.0,1.520218e-05,2.1236186444261866e+21,False,True,False
57.0,2.28717e-11,4.791977e-08,57.0,1.484964e-05,1.911626790001741e+21,False,True,False
56.0,2.40797e-11,5.073837e-08,56.0,1.449764e-05,1.7246376237037427e+21,False,True,False
55.0,2.55444e-11,5.355087e-08,55.0,1.413585e-05,1.5325285983488217e+21,False,True,False
54.5,2.60957e-11,5.503237e-08,54.5,1.395018e-05,1.4684599218482318e+21,False,True,False
54.0,2.66856e-11,5.626707e-08,54.0,1.378593e-05,1.4042552496604109e+21,False,True,False
53.5,2.72786e-11,5.760897e-08,53.5,1.361825e-05,1.3438656240027485e+21,False,True,False
53.0,2.79674e-11,5.897597e-08,53.0,1.341101e-05,1.278485515860316e+21,False,True,False
52.5,2.85046e-11,6.034447e-08,52.5,1.323686e-05,1.2307507185212908e+21,False,True,False
52.0,2.89398e-11,6.165747e-08,52.0,1.303432e-05,1.194012708230968e+21,False,True,False
51.5,2.94547e-11,6.297087e-08,51.5,1.284046e-05,1.1526323184052255e+21,False,True,False
51.0,3.005e-11,6.414377e-08,51.0,1.266284e-05,1.107416646133316e+21,False,True,False
50.5,3.07536e-11,6.515957e-08,50.5,1.248099e-05,1.0573239682945346e+21,False,True,False
50.0,3.11771e-11,6.641197e-08,50.0,1.22852e-05,1.028794344239092e+21,False,True,False
49.5,3.15897e-11,6.746297e-08,49.5,1.209818e-05,1.002095234739748e+21,False,True,False
49.0,3.21944e-11,6.857727e-08,49.0,1.192042e-05,9.648045183878339e+20,False,True,False
48.5,3.2796e-11,6.969527e-08,48.5,1.174507e-05,9.297329966004056e+20,False,True,False
48.0,3.30852e-11,7.082167e-08,48.0,1.155833e-05,9.135503143928667e+20,False,True,False
47.5,3.38487e-11,7.185247e-08,47.5,1.135344e-05,8.728025622454324e+20,False,True,False
47.0,3.42643e-11,7.269367e-08,47.0,1.118278e-05,8.517580999964916e+20,False,True,False
46.5,3.47833e-11,7.375167e-08,46.5,1.097491e-05,8.265296451201144e+20,False,True,False
46.0,3.5494e-11,7.485127e-08,46.0,1.080155e-05,7.937616456144515e+20,False,True,False
45.5,3.60716e-11,7.586527e-08,45.5,1.06271e-05,7.68544797737412e+20,False,True,False
45.0,3.66009e-11,7.685217e-08,45.0,1.044581e-05,7.464770682060529e+20,False,True,False
44.5,3.72242e-11,7.759187e-08,44.5,1.024257e-05,7.216876179532972e+20,False,True,False
44.0,3.78141e-11,7.867307e-08,44.0,1.006279e-05,6.993465926688662e+20,False,True,False
43.5,3.84589e-11,7.991207e-08,43.5,9.904444e-06,6.760927567445599e+20,False,True,False
43.0,3.92199e-11,8.096197e-08,43.0,9.745555e-06,6.501102837941626e+20,False,True,False
42.5,3.99227e-11,8.201637e-08,42.5,9.56536e-06,6.27422645379229e+20,False,True,False
42.0,4.06181e-11,8.296187e-08,42.0,9.385999e-06,6.061230376114401e+20,False,True,False
41.5,4.13857e-11,8.405227e-08,41.5,9.199633e-06,5.838474523013708e+20,False,True,False
41.0,4.21185e-11,8.515697e-08,41.0,9.044682e-06,5.6370801287471727e+20,False,True,False
40.5,4.31027e-11,8.629747e-08,40.5,8.877963e-06,5.382586881794388e+20,False,True,False
40.0,4.41077e-11,8.755327e-08,40.0,8.720736e-06,5.1400953568128093e+20,False,True,False
39.5,4.49059e-11,8.851377e-08,39.5,8.546205e-06,4.958989516694778e+20,False,True,False
39.0,4.59899e-11,9.006117e-08,39.0,8.388161e-06,4.7279738899044814e+20,False,True,False
38.5,4.69421e-11,9.131797e-08,38.5,8.245124e-06,4.5381095071071476e+20,False,True,False
38.0,4.80796e-11,9.300737e-08,38.0,8.098744e-06,4.3259182523319386e+20,False,True,False
37.5,4.9316e-11,9.456737e-08,37.5,7.956098e-06,4.111727382659014e+20,False,True,False
37.0,5.0528e-11,9.598397e-08,37.0,7.816727e-06,3.91683956745457e+20,False,True,False
36.5,5.1776e-11,9.781277e-08,36.5,7.673309e-06,3.730293545572752e+20,False,True,False
36.0,5.3188e-11,9.967717e-08,36.0,7.554583e-06,3.534863758913378e+20,False,True,False
35.5,5.4786e-11,1.014146e-07,35.5,7.392909e-06,3.331661066031139e+20,False,True,False
35.0,5.625e-11,1.029886e-07,35.0,7.250696e-06,3.160493827160494e+20,False,True,False
34.0,5.9949e-11,1.067586e-07,34.0,6.995405e-06,2.7825060276642015e+20,False,True,False
33.0,6.4101e-11,1.105866e-07,33.0,6.744006e-06,2.4337187640267457e+20,False,True,False
32.0,6.8861e-11,1.140256e-07,32.0,6.495152e-06,2.1088871935174512e+20,False,True,False
31.0,7.3963e-11,1.179776e-07,31.0,6.253266e-06,1.827977995800425e+20,False,True,False
30.0,7.89e-11,1.226366e-07,30.0,6.027578e-06,1.6063715119650583e+20,False,True,False
29.0,8.4346e-11,1.267846e-07,29.0,5.81478e-06,1.4056299976046546e+20,False,True,False
28.0,9.0211e-11,1.304296e-07,28.0,5.584059e-06,1.2287994431812305e+20,False,True,False
27.0,9.6422e-11,1.319366e-07,27.0,5.391295e-06,1.0755924104531919e+20,False,True,False
26.0,1.02623e-10,1.302806e-07,26.0,5.174581e-06,9.495341469109844e+19,False,True,False
25.0,1.08558e-10,1.227746e-07,25.0,5.002923e-06,8.485478410972425e+19,False,True,False
24.0,1.13666e-10,1.092776e-07,24.0,4.820737e-06,7.739962309213286e+19,False,True,False
23.0,1.17569e-10,9.022767e-08,23.0,4.66506e-06,7.234597125482544e+19,False,True,False
22.0,1.21093e-10,7.008887e-08,22.0,4.527593e-06,6.819647430626031e+19,False,True,False
21.0,1.25072e-10,5.429427e-08,21.0,4.41344e-06,6.392633565210483e+19,False,True,False
20.0,1.29732e-10,4.766217e-08,20.0,4.289368e-06,5.941632318826995e+19,False,True,False
19.0,1.34398e-10,4.631787e-08,19.0,4.180039e-06,5.536233361728401e+19,False,True,False
18.0,1.38958e-10,4.635857e-08,18.0,4.072759e-06,5.1788447314115125e+19,False,True,False
17.0,1.43297e-10,4.702917e-08,17.0,3.950336e-06,4.869964589619153e+19,False,True,False
16.0,1.47422e-10,4.728737e-08,16.0,3.832492e-06,4.601245465748437e+19,False,True,False
15.0,1.5152e-10,4.794637e-08,15.0,3.723611e-06,4.35572122938106e+19,False,True,False
14.0,1.55493e-10,4.864797e-08,14.0,3.606273e-06,4.135978901103369e+19,False,True,False
13.0,1.59796e-10,4.937037e-08,13.0,3.483286e-06,3.91623002023016e+19,False,True,False
12.0,1.63706e-10,5.035057e-08,12.0,3.359399e-06,3.73139139681107e+19,False,True,False
11.0,1.68061e-10,5.127737e-08,11.0,3.238267e-06,3.5405123471048507e+19,False,True,False
10.0,1.72469e-10,5.263297e-08,10.0,3.109313e-06,3.3618467286714036e+19,False,True,False
9.0,1.77043e-10,5.397407e-08,9.0,2.972709e-06,3.19038048227793e+19,False,True,False
8.0,1.81787e-10,5.563137e-08,8.0,2.82885e-06,3.0260378419772166e+19,False,True,False
7.0,1.86877e-10,5.775287e-08,7.0,2.677915e-06,2.8634413540039074e+19,False,True,False
6.0,1.92823e-10,6.029267e-08,6.0,2.521212e-06,2.6895667620306145e+19,False,True,False
5.0,1.98973e-10,6.339727e-08,5.0,2.343202e-06,2.5258741244407718e+19,False,True,False
4.0,2.06124e-10,6.768457e-08,4.0,2.140026e-06,2.3536553931442577e+19,False,True,False
3.0,2.14052e-10,7.423907e-08,3.0,1.902613e-06,2.182536020105667e+19,False,True,False
2.0,2.24796e-10,8.560967e-08,2.0,1.608151e-06,1.9788954122495414e+19,False,True,False
1.0,2.43735e-10,1.128376e-07,1.0,1.189467e-06,1.6833103918537064e+19,False,True,False
0.0,1.80867e-10,5.654606e-07,0.0,-4.046943e-07,3.056900688838819e+19,False,True,False
